party	netloc	count	count_p	count_netloc	ratio	sum_netloc	ideology
AfD	rheinpfalz	7	18878	98.0	0.00037080199173641275	0.0009759269586670854	0.3799485078707649
AfD	rnz	8	18878	288.0	0.00042377370484161455	0.0027945039471379447	0.15164541287394928
AfD	rp-online	79	18878	37999.0	0.004184765335310944	0.041827387263081287	0.10004845172350997
AfD	rt	34	18878	1496.0	0.001801038245576862	0.003411686560793075	0.5279026116508768
AfD	russlanddeutsche-afd	54	18878	2916.0	0.0028604725076808984	0.0028604725076808984	1.0
AfD	saarbruecker-zeitung	7	18878	301.0	0.00037080199173641275	0.004526640388851016	0.08191549579456042
AfD	sachsen-fernsehen	2	18878	22.0	0.00010594342621040364	0.0010615877948581573	0.09979714040001669
AfD	sat1	2	18878	24.0	0.00010594342621040364	0.001738337630430317	0.06094525272640958
AfD	schwaebische	10	18878	680.0	0.0005297171310520183	0.006165572390599469	0.08591532099431157
AfD	schwarzwaelder-bote	4	18878	104.0	0.00021188685242080728	0.0023453758666524584	0.09034238623902623
AfD	shz	18	18878	702.0	0.0009534908358936328	0.002707081919530912	0.352220902150924
AfD	sozialismus	2	18878	36.0	0.00010594342621040364	0.0018214109612171192	0.05816558067686668
AfD	spd	2	18878	1398.0	0.00010594342621040364	0.05755495214529482	0.0018407351976065301
AfD	spektrum	1	18878	25.0	5.297171310520182e-05	0.004569527205967007	0.011592383788858941
AfD	spiegel	190	18878	319580.0	0.010064625489988346	0.15153095263100397	0.06641960150872221
AfD	sputniknews	45	18878	2340.0	0.002383727089734082	0.0030962123507401965	0.7698848850480866
AfD	sr	1	18878	29.0	5.297171310520182e-05	0.003411106745731976	0.015529186581886
AfD	statista	7	18878	84.0	0.00037080199173641275	0.00085428501437138	0.4340495098222751
AfD	steinhoefel	13	18878	169.0	0.0006886322703676237	0.0006886322703676237	1.0
AfD	stern	38	18878	6308.0	0.002012925097997669	0.013936997395188357	0.14443032748880444
AfD	stimme	6	18878	102.0	0.00031783027863121094	0.0012884741994729715	0.24667182219187161
AfD	stuttgarter-nachrichten	24	18878	840.0	0.0012713211145248438	0.0022078388908022624	0.5758215057362649
AfD	stuttgarter-zeitung	23	18878	1886.0	0.001218349401419642	0.006324829997367308	0.19262958876788408
AfD	sueddeutsche	71	18878	58859.0	0.0037609916304693295	0.07474096461566018	0.050320351761707176
AfD	suedkurier	1	18878	59.0	5.297171310520182e-05	0.0070408668642480115	0.007523464670832031
AfD	svz	6	18878	156.0	0.00031783027863121094	0.002259091757341376	0.14068940652736087
AfD	swp	9	18878	279.0	0.0004767454179468164	0.0027596475030021586	0.17275591082853
AfD	swr	16	18878	2416.0	0.0008475474096832291	0.013779320202983144	0.061508651892692064
AfD	swrmediathek	5	18878	70.0	0.00026485856552600914	0.0011063699403152717	0.23939421695652263
AfD	sz-online	5	18878	280.0	0.00026485856552600914	0.004663341735275164	0.05679587312302793
AfD	t-online	25	18878	1600.0	0.0013242928276300456	0.004839059875129285	0.2736673779211431
AfD	tag24	63	18878	4977.0	0.0033372179256277146	0.005038276130785797	0.6623729702379818
AfD	tagesschau	62	18878	40114.0	0.003284246212522513	0.05613321834311892	0.05850806900910772
AfD	tagesspiegel	84	18878	59892.0	0.004449623900836953	0.0630749913420107	0.07054497838469476
AfD	taz	10	18878	4090.0	0.0005297171310520183	0.033741575778424016	0.015699241035172545
AfD	teckbote	27	18878	783.0	0.0014302362538404492	0.001565921464152525	0.913351203481007
AfD	theeuropean	29	18878	1363.0	0.0015361796800508528	0.00368456776088089	0.41692262966649574
AfD	theguardian	2	18878	104.0	0.00010594342621040364	0.0038346218747160733	0.027628128580017553
AfD	thueringen24	4	18878	180.0	0.00021188685242080728	0.0039020879958517616	0.054300890355640445
AfD	thueringer-allgemeine	8	18878	408.0	0.00042377370484161455	0.004945258615817974	0.0856929308987251
AfD	tichyseinblick	481	18878	266955.0	0.025479394003602076	0.05463552864416116	0.4663521088914188
AfD	tlz	2	18878	52.0	0.00010594342621040364	0.0026412646633892567	0.04011087100770038
AfD	tmi	1	18878	17.0	5.297171310520182e-05	0.001282723392456587	0.04129628680408946
AfD	topagrar	1	18878	35.0	5.297171310520182e-05	0.002873205837886759	0.018436449072567137
AfD	twitter	4961	18878	100733105.0	0.26279266871490625	1.8884306165230327	0.13915929259755308
AfD	tz	32	18878	1792.0	0.0016950948193664582	0.0037452631006750755	0.45259699353589367
AfD	udo-hemmelgarn	13	18878	169.0	0.0006886322703676237	0.0006886322703676237	1.0
AfD	uebermedien	3	18878	90.0	0.00015891513931560547	0.002399828334746174	0.06621937786746471
AfD	unzensuriert	63	18878	3969.0	0.0033372179256277146	0.0033372179256277146	1.0
AfD	vera-lengsfeld	45	18878	2025.0	0.002383727089734082	0.002383727089734082	1.0
AfD	vice	7	18878	413.0	0.00037080199173641275	0.005085236595124113	0.07291735296877819
AfD	vimeo	7	18878	161.0	0.00037080199173641275	0.002036711922547305	0.1820591256090123
AfD	volksstimme	19	18878	1026.0	0.0010064625489988345	0.005134694907956358	0.1960121423065062
AfD	vorwaerts	1	18878	115.0	5.297171310520182e-05	0.009545754595552023	0.005549243129493894
AfD	wahl-o-mat	10	18878	200.0	0.0005297171310520183	0.0016117460933847243	0.32866040949390074
AfD	wahlrecht	54	18878	3834.0	0.0028604725076808984	0.004492874951135499	0.6366686228286771
AfD	wallstreet-online	11	18878	121.0	0.0005826888441572201	0.0005826888441572201	1.0
AfD	washingtonpost	8	18878	160.0	0.00042377370484161455	0.0013966778966716025	0.3034154874588493
AfD	waz	27	18878	2970.0	0.0014302362538404492	0.008709959715937209	0.16420698837716186
AfD	wdr	35	18878	9730.0	0.0018540099586820639	0.023934138933510818	0.07746298974166209
AfD	web	5	18878	55.0	0.00026485856552600914	0.0008307071264197689	0.3188350708721043
AfD	wegecon	16	18878	256.0	0.0008475474096832291	0.0008475474096832291	1.0
AfD	welt	1514	18878	4205892.0	0.08019917364127556	0.2488775224866841	0.32224353907077535
AfD	wen-waehlen	3	18878	36.0	0.00015891513931560547	0.0011491359086455975	0.13829098727138997
AfD	werdeaktivafd	64	18878	4096.0	0.0033901896387329164	0.0033901896387329164	1.0
AfD	weser-kurier	7	18878	413.0	0.00037080199173641275	0.005749664807973708	0.06449106236978891
AfD	wikipedia	21	18878	1134.0	0.0011124059752092384	0.0043440154675476565	0.2560778117664551
AfD	wiwo	31	18878	2542.0	0.0016421231062612564	0.0064506848297414526	0.25456570110046345
AfD	wn	5	18878	140.0	0.00026485856552600914	0.0021558748912319558	0.12285433009271611
AfD	wochenblick	17	18878	289.0	0.000900519122788431	0.000900519122788431	1.0
AfD	wordpress	66	18878	7260.0	0.0034961330649433205	0.0073769393055852835	0.47392731865047366
AfD	wp	1	18878	19.0	5.297171310520182e-05	0.0019033295351493873	0.027831078185336
AfD	wz	7	18878	455.0	0.00037080199173641275	0.006044232256143286	0.061348071355056544
AfD	xn--nico-khler-jcb	19	18878	361.0	0.0010064625489988345	0.0010064625489988345	1.0
AfD	yougov	1	18878	12.0	5.297171310520182e-05	0.0009666444492952087	0.054799583387484495
AfD	youtube	691	18878	1760668.0	0.03660345375569446	0.23348690943222145	0.15676876208907986
AfD	zdf	29	18878	7540.0	0.0015361796800508528	0.027046216152497433	0.056798321487532846
AfD	zeit	73	18878	48691.0	0.003866935056679733	0.058708719179224336	0.0658664523897185
AfD	zellerzeitung	41	18878	1681.0	0.002171840237313275	0.002171840237313275	1.0
CDU	1730live	2	8157	28.0	0.000245188181929631	0.0016958632364407246	0.14458016228020346
CDU	abendblatt	11	8157	1727.0	0.0013485350006129705	0.015228890652151635	0.08855109879080003
CDU	aerzteblatt	3	8157	66.0	0.0003677822728944465	0.0019516429021495694	0.18844752412921723
CDU	aerztezeitung	3	8157	57.0	0.0003677822728944465	0.0016433224503970712	0.22380408227586762
CDU	ak-kurier	25	8157	2100.0	0.0030648522741203873	0.007139700976754017	0.429268996572709
CDU	allgemeine-zeitung	3	8157	246.0	0.0003677822728944465	0.005732776915207254	0.06415429700723847
CDU	ardmediathek	6	8157	432.0	0.000735564545788893	0.00618303867456782	0.1189648948524986
CDU	armin-schuster	20	8157	400.0	0.00245188181929631	0.00245188181929631	1.0
CDU	arte	1	8157	11.0	0.0001225940909648155	0.0008155430756279499	0.1503220303482079
CDU	auswaertiges-amt	2	8157	132.0	0.000245188181929631	0.005570022943986882	0.04401924092508881
CDU	badische-zeitung	10	8157	560.0	0.001225940909648155	0.005727133475585677	0.21405837927023097
